"","dada2_input","filtered","merged","nonchim","final_perc_reads_retained"
"1",43651,34956,34381,34267,78.5
"10",72550,64024,46259,45749,63.1
"11",83804,74536,74398,74130,88.5
"12",65722,59304,51266,51115,77.8
"13",70378,65085,63202,63132,89.7
"14",70693,63444,62904,62830,88.9
"15",69978,63844,63413,63355,90.5
"16",60786,55457,55039,54428,89.5
"17",67130,61688,61402,61402,91.5
"18",62394,42801,32849,32840,52.6
"19",65313,57528,47090,46627,71.4
"2",64057,56403,55354,54874,85.7
"20",71132,64377,52474,51454,72.3
"21",57271,51987,50298,50079,87.4
"22",62732,57003,44557,44093,70.3
"23",69112,62833,59792,59533,86.1
"24",60795,56053,48017,47944,78.9
"25",75106,68644,60374,60257,80.2
"26",71115,42128,33317,33244,46.7
"27",64318,57134,55878,55846,86.8
"28",54754,49070,48871,48871,89.3
"29",63543,57869,56820,56192,88.4
"3",58134,50999,38728,38599,66.4
"30",67896,62054,58928,58912,86.8
"31",63254,55379,49026,49012,77.5
"32",55228,49099,48431,48431,87.7
"33",57964,52140,51877,51877,89.5
"34",54564,48945,40757,40616,74.4
"35",67184,60648,59422,58854,87.6
"36",51365,45178,44960,44947,87.5
"37",70765,62130,61689,61689,87.2
"38",67178,61252,51796,51678,76.9
"39",51158,44165,44084,44084,86.2
"4",45531,39666,28105,27899,61.3
"40",56962,51217,42700,42392,74.4
"41",61314,56266,48630,48453,79
"42",60180,54426,54033,54033,89.8
"43",60960,53357,53103,53103,87.1
"44",64130,57577,56559,55991,87.3
"45",58250,52553,50201,49833,85.6
"46",60839,54883,53475,53394,87.8
"47",66368,59727,50168,50020,75.4
"48",51631,46923,46714,46714,90.5
"5",62506,56907,49751,49659,79.4
"6",61872,55274,54382,54313,87.8
"7",50663,45399,44251,44251,87.3
"8",56610,48456,40464,40296,71.2
"9",60437,53514,53105,53045,87.8
